H1[mm],H2[mm],H3[mm],H_C1[mm],H_C2[mm]
3.748172303474413,4.617598531712055,4.200271273735835,3.157796562448396,2.8861446073846206
3.7820717511780284,4.518858329554105,4.152698994377043,3.159571142813988,2.8883303367701654
3.760621207818349,4.318212434866368,4.091127015756051,3.2063941531034423,2.9214425371894874

=== 统计分析 ===

各参数平均误差:
H1[mm]: 绝对误差=0.0125mm, 相对误差=0.33%
H2[mm]: 绝对误差=0.1108mm, 相对误差=2.44%
H3[mm]: 绝对误差=0.0456mm, 相对误差=1.11%
H_C1[mm]: 绝对误差=0.0606mm, 相对误差=1.95%
H_C2[mm]: 绝对误差=0.0133mm, 相对误差=0.46%

各样本平均相对误差:
样本 1: 1.03%
样本 2: 0.74%
样本 3: 2.00%

最优样本: 样本 2，平均相对误差=0.74%
最优样本参数: [3.78207175 4.51885833 4.15269899 3.15957114 2.88833034]

=== 生成时间 ===
生成时间: 2026-02-11 17:49:13
